"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 14:55","2020-10-10 16:29","EDDF","EGBB",,,"DLH956","A20N","DAINO",,,,
,"2020-10-10 15:00","2020-10-10 20:41","EDDF","OMDW",,,"UAE9978","B77L","A6EFS",,,,
,"2020-10-10 15:00","2020-10-10 16:09","EDDF","LFLL",,,"DLH22V","A320","DAIZO",,,,
,"2020-10-10 15:00","2020-10-10 16:37","EDDF","EGLL",,,"DLH6KJ","A20N","DAIND",,,,
,"2020-10-10 14:50","2020-10-10 16:10","EDDF","LIMF",,,"DLA50HH","E195","IADJV",,,,
,"2020-10-10 15:10","2020-10-10 16:23","EDDF","EKBI",,,"DLH1CV","CRJ9","DACNB",,,,
,"2020-10-10 14:55","2020-10-10 16:05","EDDF","LSGG",,,"SWR1085","BCS3","HBJCH",,,,
,"2020-10-10 15:10","2020-10-10 15:55","EDDF","LFSB",,,"DLH3TP","CRJ9","DACNA",,,,
,"2020-10-10 15:10","2020-10-10 23:32","EDDF","CYYZ",,,"ACA877","A333","CGHKX",,,,
,"2020-10-10 15:10","2020-10-10 18:09","EDDF","UUDD",,,"DLH1450","A320","DAIUI",,,,
,"2020-10-10 14:50","2020-10-10 16:22","EDDF","EPWR",,,"DLH8FU","CRJ9","DACNV",,,,
,"2020-10-10 15:20","2020-10-10 15:55","EDDF","EDLP",,,"DLH364","CRJ9","DACKA",,,,
,"2020-10-10 15:15","2020-10-10 16:24","EDDF","LIPZ",,,"DLH7ET","A320","DAIZZ",,,,
,"2020-10-10 15:10","2020-10-10 16:35","EDDF","EKCH",,,"DLH830","A320","DAIUG",,,,
,"2020-10-10 15:15","2020-10-10 15:58","EDDF","EDDN",,,"DLH3UV","A320","DAIWE",,,,
,"2020-10-10 15:10","2020-10-10 23:31","EDDF","KIAD",,,"UAL933","B772","N206UA",,,,
,"2020-10-10 15:10","2020-10-10 16:11","EDDF","EDDC",,,"DLH3ME","A20N","DAINT",,,,
,"2020-10-10 15:15","2020-10-10 02:17","EDDF","SKBO",,,"DLH542","A346","DAIHZ",,,,
,"2020-10-10 15:05","2020-10-10 16:33","EDDF","LOWW",,,"DLH68H","A321","DAIRM",,,,
,"2020-10-10 15:15","2020-10-10 16:13","EDDF","EDDW",,,"DLH7KL","A321","DAISG",,,,
,"2020-10-10 15:20","2020-10-10 16:07","EDDF","LSZH",,,"SWR75C","E190","HBJVL",,,,
,"2020-10-10 15:15","2020-10-10 16:17","EDDF","EDDM",,,"DLH8CN","A320","DAIUE",,,,
,"2020-10-10 15:20","2020-10-10 16:02","EDDF","EDDS",,,"DLH1AH","A319","DAILF",,,,
,"2020-10-10 15:10","2020-10-10 01:06","EDDF","ZSPD",,,"DLH728","A388","DAIMK",,,,
,"2020-10-10 15:15","2020-10-10 16:24","EDDF","EDDT",,,"DLH5NE","A20N","DAINQ",,,,
,"2020-10-10 15:00","2020-10-10 00:38","EDDF","CYYC",,,"CFG440","B763","DABUL",,,,
,"2020-10-10 15:20","2020-10-10 16:31","EDDF","LFPG",,,"DLH81J","A21N","DAIEB",,,,
,"2020-10-10 15:10","2020-10-10 23:19","EDDF","KJFK",,,"DLH404","B748","DABYM",,,,
,"2020-10-10 15:25","2020-10-10 02:12","EDDF","KSFO",,,"UAL927","B772","N218UA",,,,
,"2020-10-10 15:10","2020-10-10 16:36","EDDF","LFPG",,,"AFR131N","E190","FHBLM",,,,
,"2020-10-10 15:35","2020-10-10 16:46","EDDF","LDRI",,,"CFG8HT","A320","DAICH",,,,
,"2020-10-10 15:15","2020-10-10 16:19","EDDF","EDDV",,,"DLH4LR","A321","DAIDJ",,,,
,"2020-10-10 15:15","2020-10-10 23:54","EDDF","KORD",,,"DLH432","B748","DABYU",,,,
,"2020-10-10 15:45","2020-10-10 23:05","EDDF","VABB",,,"GEC8360","MD11","DALCK",,,,
,"2020-10-10 15:30","2020-10-10 17:33","EDDF","LEBL",,,"DLH88P","A321","DAIDH",,,,
,"2020-10-10 15:00","2020-10-10 16:35","EDDF","EDDP",,,"DLH3HJ","RJ85","EIRJO",,,,
,"2020-10-10 15:40","2020-10-10 16:36","EDDF","LSGG",,,"DLH9CK","CRJ9","DACND",,,,
,"2020-10-10 15:25","2020-10-10 22:44","EDDF","CYHZ",,,"CFG414","B763","DABUM",,,,
,"2020-10-10 15:30","2020-10-10 16:21","EDDF","ELLX",,,"DLH396","A319","DAIBH",,,,
,"2020-10-10 15:25","2020-10-10 16:42","EDDF","EHAM",,,"DLH3KY","A320","DAIUB",,,,
,"2020-10-10 15:30","2020-10-10 00:19","EDDF","ZBAA",,,"DLH720","B748","DABYD",,,,
,"2020-10-10 15:25","2020-10-10 16:41","EDDF","EBBR",,,"DLH1UT","A20N","DAINR",,,,
,"2020-10-10 15:35","2020-10-10 17:40","EDDF","ESSA",,,"SAS638","A20N","SERON",,,,
,"2020-10-10 15:35","2020-10-10 21:11","EDDF","OTHH",,,"QTR068","A388","A7APE",,,,
,"2020-10-10 15:35","2020-10-10 17:58","EDDF","EIDW",,,"RYR31XY","B738","EIGXG",,,,
,"2020-10-10 15:30","2020-10-10 16:33","EDDF","EDDG",,,"DLH066","A319","DAILH",,,,
,"2020-10-10 15:35","2020-10-10 17:12","EDDF","LIRF",,,"DLH2HY","A319","DAILM",,,,
,"2020-10-10 15:30","2020-10-10 17:20","EDDF","ESGG",,,"DLH1KE","A20N","DAINK",,,,
,"2020-10-10 15:20","2020-10-10 17:30","EDDF","EGLL",,,"BAW909U","A20N","GTTNH",,,,
,"2020-10-10 15:45","2020-10-10 18:16","EDDF","LEMD",,,"DLH47Y","A321","DAIRR",,,,
,"2020-10-10 15:50","2020-10-10 17:19","EDDF","LOWW",,,"AUA132","A320","OELXC",,,,
,"2020-10-10 15:45","2020-10-10 17:22","EDDF","LHBP",,,"WZZ9SZ","A21N","HALVC",,,,
,"2020-10-10 15:50","2020-10-10 23:49","EDDF","KBOS",,,"DLH420","A333","DAIKP",,,,
,"2020-10-10 15:55","2020-10-10 17:00","EDDF","LIMC",,,"DLH7MU","A319","DAIBI",,,,
,"2020-10-10 16:00","2020-10-10 18:32","EDDF","LGAV",,,"AEE3FT","A321","SXDGA",,,,
,"2020-10-10 15:50","2020-10-10 01:22","EDDF","ZYTX",,,"DLH782","A343","DAIGZ",,,,
,"2020-10-10 15:45","2020-10-10 18:35","EDDF","LTFJ",,,"PGT1RN","B738","TCAZP",,,,
,"2020-10-10 16:05","2020-10-10 03:40","EDDF","MMMX",,,"GEC8220","B77L","DALFE",,,,
,"2020-10-10 15:45","2020-10-10 17:06","EDDF","EHRD",,,"NJE064C","E55P","CSPHL",,,,
,"2020-10-10 15:40","2020-10-10 17:11","EDDF","EDDH",,,"DLH4KA","A321","DAIRF",,,,
