"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 11:45","2020-10-10 15:10","GMMX","EDDF",,,"DLH1333","A320","DAIUH",,,,
,"2020-10-10 13:05","2020-10-10 15:15","LEMD","EDDF",,,"LAN704","B789","CCBGN",,,,
,"2020-10-10 12:10","2020-10-10 15:18","GMMN","EDDF",,,"RAM810D","B738","CNRNP",,,,
,"2020-10-10 02:30","2020-10-10 15:19","SAEZ","EDDF",,,"DLH511","B748","DABYC",,,,
,"2020-10-10 03:55","2020-10-10 15:23","FIMP","EDDF",,,"CFG315","B763","DABUE",,,,
,"2020-10-10 04:45","2020-10-10 15:24","ZSQD","EDDF",,,"DLH787","A343","DAIGT",,,,
,"2020-10-10 10:30","2020-10-10 15:25","HEGN","EDDF",,,"CFG031","B763","DABUI",,,,
,"2020-10-10 14:00","2020-10-10 15:27","EHAM","EDDF",,,"DLH4A","A20N","DAINN",,,,
,"2020-10-10 12:30","2020-10-10 15:28","UUEE","EDDF",,,"AFL2656","B738","VQBWA",,,,
,"2020-10-10 13:10","2020-10-10 15:29","LEMD","EDDF",,,"AEA30BQ","B738","ECLTM",,,,
,"2020-10-10 14:35","2020-10-10 15:33","EHAM","EDDF",,,"KLM1769","E75L","PHEXH",,,,
,"2020-10-10 03:50","2020-10-10 15:35","RKSI","EDDF",,,"KAL905","B748","HL7643",,,,
,"2020-10-10 12:50","2020-10-10 15:39","LIRF","EDDF",,,"DLH9VT","A20N","DAINC",,,,
,"2020-10-10 11:45","2020-10-10 15:39","LTAI","EDDF",,,"SXS1","B738","TCSOA",,,,
,"2020-10-10 14:45","2020-10-10 15:41","EDDT","EDDF",,,"DLH193","A321","DAIRN",,,,
,"2020-10-10 06:00","2020-10-10 15:44","ZBAA","EDDF",,,"CCA931","B77W","B1430",,,,
,"2020-10-10 15:00","2020-10-10 15:47","EDDM","EDDF",,,"DLH5HV","A20N","DAINJ",,,,
,"2020-10-10 13:45","2020-10-10 15:49","EVRA","EDDF",,,"BTI6JK","B735","YLBBD",,,,
,"2020-10-10 14:05","2020-10-10 15:50","EGCC","EDDF",,,"DLH939","A320","DAIWI",,,,
,"2020-10-10 11:00","2020-10-10 15:50","HEMA","EDDF",,,"HES7829","A321","TCOBY",,,,
,"2020-10-10 11:00","2020-10-10 15:53","HEGN","EDDF",,,"HES6829","A321","LZHEA",,,,
,"2020-10-10 14:05","2020-10-10 15:56","ENGM","EDDF",,,"DLH6LY","A20N","DAINB",,,,
,"2020-10-10 15:00","2020-10-10 15:57","EDDT","EDDF",,,"DLH195","A21N","DAIEC",,,,
,"2020-10-10 14:55","2020-10-10 15:59","LOWW","EDDF",,,"KAL537","B748","HL7617",,,,
,"2020-10-10 15:00","2020-10-10 15:59","EDDH","EDDF",,,"DLH3PH","A321","DAISD",,,,
,"2020-10-10 15:05","2020-10-10 16:01","EBBR","EDDF",,,"DLH1Y","CRJ9","DACKK",,,,
,"2020-10-10 08:15","2020-10-10 16:02","UAAA","EDDF",,,"GEC8421","MD11","DALCH",,,,
,"2020-10-10 10:10","2020-10-10 16:06","UACC","EDDF",,,"KZR921","B752","P4MAS",,,,
,"2020-10-10 14:15","2020-10-10 16:08","EGLL","EDDF",,,"BAW910N","A320","GEUYH",,,,
,"2020-10-10 13:55","2020-10-10 16:10","EFHK","EDDF",,,"FIN7RA","A321","OHLZF",,,,
,"2020-10-10 14:25","2020-10-10 16:13","ESSA","EDDF",,,"DLH5KX","A320","DAIUK",,,,
,"2020-10-10 05:25","2020-10-10 16:18","RKSI","EDDF",,,"DLH713","B744","DABTK",,,,
,"2020-10-10 13:50","2020-10-10 16:20","LEMD","EDDF",,,"ANE16BF","CRJX","ECMNR",,,,
,"2020-10-10 14:45","2020-10-10 16:23","EGLL","EDDF",,,"DLH3U","A20N","DAINE",,,,
,"2020-10-10 13:55","2020-10-10 16:24","LBWN","EDDF",,,"SXD41D","A320","YLLCT",,,,
,"2020-10-10 15:10","2020-10-10 16:26","EDDT","EDDF",,,"EJU675N","A319","OELKL",,,,
,"2020-10-10 15:40","2020-10-10 16:28","EDDL","EDDF",,,"DLH085","E190","DAECB",,,,
,"2020-10-10 15:10","2020-10-10 16:29","LOWW","EDDF",,,"AUA12V","A321","OELBC",,,,
,"2020-10-10 15:30","2020-10-10 16:30","EHAM","EDDF",,,"KLM1773","E75L","PHEXS",,,,
,"2020-10-10 05:05","2020-10-10 16:32","RJTT","EDDF",,,"DLH717","B748","DABYL",,,,
,"2020-10-10 15:45","2020-10-10 16:34","EDDT","EDDF",,,"DLH2VT","A321","DAIRH",,,,
,"2020-10-10 14:10","2020-10-10 16:35","LEPA","EDDF",,,"DLH1159","B738","DASXC",,,,
,"2020-10-10 12:01","2020-10-10 16:36","LLBG","EDDF",,,"ELY355","B738","4XEKF",,,,
,"2020-10-10 14:35","2020-10-10 16:38","LEBL","EDDF",,,"DLH84M","A321","DAIDV",,,,
,"2020-10-10 14:05","2020-10-10 16:39","LROP","EDDF",,,"ROT305F","B737","YRBGI",,,,
,"2020-10-10 08:05","2020-10-10 16:40","VIDP","EDDF",,,"AIC121","B788","VTANI",,,,
,"2020-10-10 05:15","2020-10-10 16:44","ZSPD","EDDF",,,"DLH729","A388","DAIMC",,,,
,"2020-10-10 14:00","2020-10-10 16:47","LPFR","EDDF",,,"RYR700H","B738","EIDYY",,,,
,"2020-10-10 15:15","2020-10-10 16:49","EGGW","EDDF",,,"AXY2612","E35L","9HJPC",,,,
,"2020-10-10 16:00","2020-10-10 16:51","EDDH","EDDF",,,"DLH2PJ","A321","DAIDI",,,,
,"2020-10-10 05:10","2020-10-10 16:54","ZSNJ","EDDF",,,"DLH781","A343","DAIGX",,,,
,"2020-10-10 15:30","2020-10-10 16:54","EGLL","EDDF",,,"DLH4H","A20N","DAINP",,,,
,"2020-10-10 16:15","2020-10-10 16:56","EDLP","EDDF",,,"DLH365","CRJ9","DACKA",,,,
,"2020-10-10 15:35","2020-10-10 16:57","LIMC","EDDF",,,"AZA410","E75S","EIRDF",,,,
,"2020-10-10 15:35","2020-10-10 16:58","LKPR","EDDF",,,"CSA536","AT75","OKNFV",,,,
,"2020-10-10 15:05","2020-10-10 16:59","EGCC","EDDF",,,"RYR4FL","B738","EIFZJ",,,,
,"2020-10-10 15:50","2020-10-10 16:59","LFPG","EDDF",,,"AFR43LR","E190","FHBLB",,,,
,"2020-10-10 15:15","2020-10-10 17:01","EGPF","EDDF",,,"DLH961","A320","DAIWD",,,,
,"2020-10-10 16:20","2020-10-10 17:02","EDNY","EDDF",,,"DLH5MF","A319","DAIBJ",,,,
,"2020-10-10 13:45","2020-10-10 17:03","LPPT","EDDF",,,"TAP576G","A20N","CSTVD",,,,
,"2020-10-10 16:15","2020-10-10 17:03","EDDM","EDDF",,,"DLH4LJ","A321","DAIRU",,,,
,"2020-10-10 16:20","2020-10-10 17:05","LKPR","EDDF",,,"DLH3P","A320","DAIQF",,,,
,"2020-10-10 14:50","2020-10-10 17:06","LEBL","EDDF",,,"DLH26E","A321","DAIRS",,,,
,"2020-10-10 16:05","2020-10-10 17:07","EBBR","EDDF",,,"DLH7W","A319","DAILD",,,,
,"2020-10-10 16:03","2020-10-10 17:07","EDDM","EDDF",,,"FDX3","B77L","N887FD",,,,
,"2020-10-10 14:30","2020-10-10 17:08","LPFR","EDDF",,,"DLH1163","A321","DAISL",,,,
,"2020-10-10 15:30","2020-10-10 17:09","EPWA","EDDF",,,"LOT3ZC","E195","SPLNC",,,,
,"2020-10-10 05:25","2020-10-10 17:10","VTBS","EDDF",,,"THA922","A359","HSTHM",,,,
,"2020-10-10 14:35","2020-10-10 17:11","UKBB","EDDF",,,"DLH1495","A321","DAIRC",,,,
,"2020-10-10 15:55","2020-10-10 17:13","LSGG","EDDF",,,"DLH8K","A319","DAIBD",,,,
,"2020-10-10 16:05","2020-10-10 17:13","LSZH","EDDF",,,"DLH8C","A320","DAIUL",,,,
,"2020-10-10 16:15","2020-10-10 17:14","EDDT","EDDF",,,"DLH2FR","A321","DAIDK",,,,
,"2020-10-10 15:25","2020-10-10 17:17","LRCL","EDDF",,,"DLH4YA","E190","DAECG",,,,
,"2020-10-10 10:40","2020-10-10 17:18","OMDB","EDDF",,,"UAE6RA","A388","A6EDF",,,,
,"2020-10-10 15:50","2020-10-10 17:22","LJLJ","EDDF",,,"ADR124","B462","DAMGL",,,,
,"2020-10-10 15:25","2020-10-10 17:22","ESSA","EDDF",,,"SAS673","A20N","SEROE",,,,
,"2020-10-10 16:00","2020-10-10 17:24","EGLC","EDDF",,,"DLH2MC","E190","DAECH",,,,
,"2020-10-10 13:55","2020-10-10 17:25","BIKF","EDDF",,,"DLH857","A321","DAISP",,,,
,"2020-10-10 16:15","2020-10-10 17:27","LIMC","EDDF",,,"DLH275","A319","DAILI",,,,
,"2020-10-10 16:45","2020-10-10 17:27","EDDN","EDDF",,,"DLH153","A320","DAIWE",,,,
,"2020-10-10 16:40","2020-10-10 17:27","EDDS","EDDF",,,"DLH1UV","A319","DAILF",,,,
,"2020-10-10 16:15","2020-10-10 17:28","LIPZ","EDDF",,,"DLH329","A320","DAIQD",,,,
