user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 14:30,2020-10-10 16:32,EDDF,LEPA,ANEKI Y163 HERBI Y164 OLBEN UN869 NEMOS DCT GVA DCT BALSI DCT VATIR UN852 VERSO UL129 LUNIK,,CFG9DV,B753,DABOM,,,,
,2020-10-10 14:25,2020-10-10 15:56,EDDF,EPKT,SULUS UL984 OKG DCT LAGAR N871 MISKA DCT MAPIK,,DLH5RC,CRJ9,DACNH,,,,
,2020-10-10 14:30,2020-10-10 16:18,EDDF,LFBO,ANEKI Y163 HERBI Y164 OLBEN UN869 NEMOS NINTU UN869 NARAK,,DLH07C,CRJ9,DACNL,,,,
,2020-10-10 14:35,2020-10-10 15:33,EDDF,LOWS,CINDY Z74 LAMPU Z54 NOMBO Y161 RIDAR Z98 WLD T702 BADIT,,AUA266,E195,OELWL,,,,
,2020-10-10 14:30,2020-10-10 15:41,EDDF,LOWL,SULUS Z650 TIPAM T703 DEXIT,,DLH26U,CRJ9,DACNW,,,,
,2020-10-10 14:40,2020-10-10 15:29,EDDF,EDNY,ANEKI Y163 NEKLO Y171 INKAM T725 LAMGO T721 SUL Z714 LEBSO N851 RAUTA T732 GARMO,,DLH8JP,A319,DAIBJ,,,,
,2020-10-10 14:20,2020-10-10 16:49,EDDF,LEBB,SOBRA Y180 DIK UN857 GIMER UT300 PON UN872 TERPO UT176 DESAB UN867 NENEM Q42 XORNA G23 DOSUL,,DLH77T,A320,DAIWC,,,,
,2020-10-10 14:40,2020-10-10 16:13,EDDF,EPWA,SULUS UL984 OKG L984 DONAD DCT ARTUP DCT LAGAR N871 OKENO Q277 AGAVA,,DLH6EE,A320,DAIUO,,,,
,2020-10-10 14:15,2020-10-10 15:55,EDDF,EHAM,MARUN Y152 ARPEG Z850 HMM L602 RKN,,DLH9JF,A321,DAISX,,,,
,2020-10-10 14:40,2020-10-10 16:16,EDDF,LFMN,ANEKI Y163 NATOR N850 ODINA DCT ENOBA Z185 BORDI,,DLH55J,A20N,DAINM,,,,
,2020-10-10 14:50,2020-10-10 16:02,EDDF,LIPE,ANEKI Y163 NATOR N850 TRA UP131 RESIA ADOSA M738 BENUS,,DLH6LM,A320,DAIUN,,,,
,2020-10-10 14:50,2020-10-10 15:52,EDDF,LIMC,ANEKI Y163 NATOR N850 DEGAD Z424 AKASU/F190 Z424 RIXUV,,DLH254,CRJ9,DACKF,,,,
,2020-10-10 14:50,2020-10-10 16:02,EDDF,LOWG,CINDY Z74 LAMPU Z54 NOMBO Y161 MAH L173 EBEDA/F370 UL603 LATLO DCT OBEDI DCT ABIRI,,AUA25H,E195,OELWJ,,,,
,2020-10-10 14:50,2020-10-10 16:31,EDDF,EGCC,OBOKA Z29 TORNU DCT BREDA DCT RAVLO Y70 OTBED,,DLH7VJ,A320,DAIUJ,,,,
,2020-10-10 14:45,2020-10-10 15:54,EDDF,EDDT,TOBAK N858 SWALM T201 TAMEB T278 RUDAK,,DLH1MM,A321,DAISW,,,,
,2020-10-10 14:50,2020-10-10 16:05,EDDF,LIPQ,CINDY HAREM T104 DKB RIXED PESIM LCH KONIN LUXEK RTT MALUG RISOM,,DLH4WM,CRJ9,DACNF,,,,
,2020-10-10 14:50,2020-10-10 16:14,EDDF,LIRQ,ANEKI Y163 NATOR N850 TRA ELMUR Q341 RESIA ATPED IDREK KREVA TIPNI LOMED,,DLA6LN,E195,IADJT,,,,
,2020-10-10 15:00,2020-10-10 16:26,EDDF,LHBP,SULUS UZ650 VEMUT DCT ABUDO Z205 BUDEX DCT MAREG DCT ANEXA,,DLH2RX,E190,DAECD,,,,
,2020-10-10 15:00,2020-10-10 15:58,EDDF,EDDH,MARUN Y150 TOLGI DCT DLE P605 NOLGO,,DLH8RW,A321,DAIDG,,,,
